geoid (zcta),state_abbr,lon,lat,count_prop,days_above_100_today,days_above_100_30yrs,change_days_above_100,change_perc_above_100
06390,ny,-71.98859,41.27029,939,0,2,2,NA
07001,nj,-74.26993,40.58343,3242,8,16,8,100
07002,nj,-74.10907,40.66428,13954,6,14,8,133.3
07003,nj,-74.18683,40.80992,12128,8,16,8,100
07004,nj,-74.30418,40.88281,3654,6,13,7,116.7
07005,nj,-74.42099,40.92947,5819,5,11,6,120
07006,nj,-74.28168,40.85216,8194,6,13,7,116.7
07008,nj,-74.22736,40.58377,5926,6,13,7,116.7
07009,nj,-74.22876,40.8565,4116,6,14,8,133.3
07010,nj,-73.98794,40.82205,7448,6,13,7,116.7
07011,nj,-74.1448,40.87848,8391,8,16,8,100
07012,nj,-74.15983,40.84744,3399,8,16,8,100
07013,nj,-74.17274,40.86906,9269,8,16,8,100
07014,nj,-74.13547,40.83149,2047,8,16,8,100
07016,nj,-74.30359,40.65641,8261,10,19,9,90
07017,nj,-74.20707,40.77211,6055,8,16,8,100
07018,nj,-74.21782,40.75583,4282,8,16,8,100
07020,nj,-73.97406,40.82362,4419,6,14,8,133.3
07021,nj,-74.27977,40.8269,839,6,12,6,100
07022,nj,-74.00223,40.81821,2822,6,14,8,133.3
07023,nj,-74.38569,40.6417,2664,11,20,9,81.8
07024,nj,-73.9713,40.85081,8880,6,13,7,116.7
07026,nj,-74.10813,40.87864,6771,8,16,8,100
07027,nj,-74.32314,40.65135,1562,11,20,9,81.8
07028,nj,-74.20438,40.80398,2370,8,16,8,100
07029,nj,-74.15394,40.74372,3038,7,15,8,114.3
07030,nj,-74.03211,40.7453,18029,5,12,7,140
07031,nj,-74.12726,40.78747,4264,7,15,8,114.3
07032,nj,-74.12031,40.75375,9108,7,15,8,114.3
07033,nj,-74.28895,40.67815,3062,10,19,9,90
07034,nj,-74.37993,40.8797,2749,7,15,8,114.3
07035,nj,-74.30493,40.92542,4242,6,14,8,133.3
07036,nj,-74.23844,40.62504,12964,8,16,8,100
07039,nj,-74.32904,40.78547,10693,7,15,8,114.3
07040,nj,-74.26962,40.73058,7502,9,18,9,100
07041,nj,-74.30073,40.72292,2292,10,19,9,90
07042,nj,-74.21768,40.81361,6760,8,16,8,100
07043,nj,-74.20043,40.84427,4156,7,15,8,114.3
07044,nj,-74.24285,40.83221,5260,6,13,7,116.7
07045,nj,-74.36768,40.91074,3955,6,13,7,116.7
07046,nj,-74.44057,40.89064,1734,6,13,7,116.7
07047,nj,-74.02617,40.79362,11603,6,13,7,116.7
07050,nj,-74.23478,40.76823,5328,8,16,8,100
07052,nj,-74.26281,40.7893,14968,8,16,8,100
07054,nj,-74.40225,40.85566,7231,7,14,7,100
07055,nj,-74.12817,40.85751,8218,8,16,8,100
07057,nj,-74.10669,40.85352,2519,7,15,8,114.3
07058,nj,-74.34276,40.86731,1404,7,15,8,114.3
07059,nj,-74.51463,40.63237,6238,9,17,8,88.9
07060,nj,-74.42158,40.61633,9109,11,20,9,81.8
07062,nj,-74.40332,40.63161,3672,11,21,10,90.9
07063,nj,-74.44603,40.60516,3307,11,20,9,81.8
07064,nj,-74.24728,40.56782,1393,6,13,7,116.7
07065,nj,-74.28075,40.60769,8386,9,17,8,88.9
07066,nj,-74.31342,40.62028,5393,10,19,9,90
07067,nj,-74.31486,40.59264,6327,9,18,9,100
07068,nj,-74.30865,40.82074,2260,6,13,7,116.7
07069,nj,-74.4395,40.64246,2538,11,20,9,81.8
